Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment
0,PMR01,446.006250,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,PMR01
1,PMR02,446.018750,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,PMR02
2,PMR03,446.031250,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,PMR03
3,PMR04,446.043750,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,PMR04
4,PMR05,446.056250,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,PMR05
5,PMR06,446.068750,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,PMR06
6,PMR07,446.081250,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,PMR07
7,PMR08,446.093750,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,PMR08
8,PMR09,446.106250,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,PMR09
9,PMR10,446.118750,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,PMR10
10,PMR11,446.131250,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,PMR11
11,PMR12,446.143750,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,PMR12
12,PMR13,446.156250,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,PMR13
13,PMR14,446.168750,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,PMR14
14,PMR15,446.181250,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,PMR15
15,PMR16,446.193750,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,PMR16
16,LPD01,433.075000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD01
17,LPD02,433.100000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD02
18,LPD03,433.125000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD03
19,LPD04,433.150000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD04
20,LPD05,433.175000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD05
21,LPD06,433.200000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD06
22,LPD07,433.225000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD07
23,LPD08,433.250000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD08
24,LPD09,433.275000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD09
25,LPD10,433.300000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD10
26,LPD11,433.325000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD11
27,LPD12,433.350000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD12
28,LPD13,433.375000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD13
29,LPD14,433.400000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD14
30,LPD15,433.425000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD15
31,LPD16,433.450000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD16
32,LPD17,433.475000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD17
33,LPD18,433.500000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD18
34,LPD19,433.525000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD19
35,LPD20,433.550000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD20
36,LPD21,433.575000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD21
37,LPD22,433.600000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD22
38,LPD23,433.625000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD23
39,LPD24,433.650000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD24
40,LPD25,433.675000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD25
41,LPD26,433.700000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD26
42,LPD27,433.725000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD27
43,LPD28,433.750000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD28
44,LPD29,433.775000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD29
45,LPD30,433.800000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD30
46,LPD31,433.825000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD31
47,LPD32,433.850000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD32
48,LPD33,433.875000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD33
49,LPD34,433.900000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD34
50,LPD35,433.925000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD35
51,LPD36,433.950000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD36
52,LPD37,433.975000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD37
53,LPD38,434.000000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD38
54,LPD39,434.025000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD39
55,LPD40,434.050000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD40
56,LPD41,434.075000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD41
57,LPD42,434.100000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD42
58,LPD43,434.125000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD43
59,LPD44,434.150000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD44
60,LPD45,434.175000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD45
61,LPD46,434.200000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD46
62,LPD47,434.225000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD47
63,LPD48,434.250000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD48
64,LPD49,434.275000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD49
65,LPD50,434.300000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD50
66,LPD51,434.325000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD51
67,LPD52,434.350000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD52
68,LPD53,434.375000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD53
69,LPD54,434.400000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD54
70,LPD55,434.425000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD55
71,LPD56,434.450000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD56
72,LPD57,434.475000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD57
73,LPD58,434.500000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD58
74,LPD59,434.525000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD59
75,LPD60,434.550000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD60
76,LPD61,434.575000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD61
77,LPD62,434.600000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD62
78,LPD63,434.625000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD63
79,LPD64,434.650000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD64
80,LPD65,434.675000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD65
81,LPD66,434.700000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD66
82,LPD67,434.725000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD67
83,LPD68,434.750000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD68
84,LPD69,434.775000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD69
85,PMR01,446.006250,,0.000000,TSQL,88.5,203.5,023,NN,NFM,12.50,,PMR01 CTCSS 203.5
86,PMR02,446.018750,,0.000000,TSQL,88.5,203.5,023,NN,NFM,12.50,,PMR02 CTCSS 203.5
87,PMR03,446.031250,,0.000000,TSQL,88.5,203.5,023,NN,NFM,12.50,,PMR03 CTCSS 203.5
88,PMR04,446.043750,,0.000000,TSQL,88.5,203.5,023,NN,NFM,12.50,,PMR04 CTCSS 203.5
89,PMR05,446.056250,,0.000000,TSQL,88.5,203.5,023,NN,NFM,12.50,,PMR05 CTCSS 203.5
90,PMR06,446.068750,,0.000000,TSQL,88.5,203.5,023,NN,NFM,12.50,,PMR06 CTCSS 203.5
91,PMR07,446.081250,,0.000000,TSQL,88.5,203.5,023,NN,NFM,12.50,,PMR07 CTCSS 203.5
92,PMR08,446.093750,,0.000000,TSQL,88.5,203.5,023,NN,NFM,12.50,,PMR08 CTCSS 203.5
93,PMR09,446.106250,,0.000000,TSQL,88.5,203.5,023,NN,NFM,12.50,,PMR09 CTCSS 203.5
94,PMR10,446.118750,,0.000000,TSQL,88.5,203.5,023,NN,NFM,12.50,,PMR10 CTCSS 203.5
95,PMR11,446.131250,,0.000000,TSQL,88.5,203.5,023,NN,NFM,12.50,,PMR11 CTCSS 203.5
96,PMR12,446.143750,,0.000000,TSQL,88.5,203.5,023,NN,NFM,12.50,,PMR12 CTCSS 203.5
97,PMR13,446.156250,,0.000000,TSQL,88.5,203.5,023,NN,NFM,12.50,,PMR13 CTCSS 203.5
98,PMR14,446.168750,,0.000000,TSQL,88.5,203.5,023,NN,NFM,12.50,,PMR14 CTCSS 203.5
99,PMR15,446.181250,,0.000000,TSQL,88.5,203.5,023,NN,NFM,12.50,,PMR15 CTCSS 203.5
100,PMR16,446.193750,,0.000000,TSQL,88.5,203.5,023,NN,NFM,12.50,,PMR16 CTCSS 203.5
101,LPD01,433.075000,,0.000000,TSQL,88.5,203.5,023,NN,NFM,25.00,,LPD01 CTCSS 203.5
102,LPD02,433.100000,,0.000000,TSQL,88.5,203.5,023,NN,NFM,25.00,,LPD02 CTCSS 203.5
103,LPD03,433.125000,,0.000000,TSQL,88.5,203.5,023,NN,NFM,25.00,,LPD03 CTCSS 203.5
104,LPD04,433.150000,,0.000000,TSQL,88.5,203.5,023,NN,NFM,25.00,,LPD04 CTCSS 203.5
105,LPD05,433.175000,,0.000000,TSQL,88.5,203.5,023,NN,NFM,25.00,,LPD05 CTCSS 203.5
106,LPD06,433.200000,,0.000000,TSQL,88.5,203.5,023,NN,NFM,25.00,,LPD06 CTCSS 203.5
107,LPD07,433.225000,,0.000000,TSQL,88.5,203.5,023,NN,NFM,25.00,,LPD07 CTCSS 203.5
